,timestamp,donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_2024,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,cuales_consideras_que_son_las_mejores_empresas_de_it_para_trabajar_en_este_momento_en_tu_ciudad,sueldo_dolarizado,seniority
10,5/1/2024 11:40:21,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),716000.0,595000.0,,,Un sueldo,Performance de la compañía,Tres,50.0,Mayo,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",Developer,4,3,2,0.0,"Docker, Linux","PHP, TypeScript",Symfony,"PostgreSQL, Redis","PHPUnit, Postman, Playwright",De 101 a 200 personas,100% remoto,0,Si,No,5,1,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Ciencia de Datos,UCAECE - Centro de Altos Estudios en Ciencias Exactas,Responder sobre guardias,No,0.0,Neto,Terminar encuesta,27,Hombre Cis,No,,False,Semi-Senior
11,5/1/2024 11:42:19,Córdoba,Full-Time,Contractor,450000.0,450000.0,Mi sueldo está dolarizado (pero cobro en moneda local),,No,No recibo bono,No,0.0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",Automatizador,0,1,0,0.0,"Make (ex-integromat), Prestashop",Javascript,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,No,No sé,6,1,Terminar encuesta,,,,,,,,,,32,Hombre Cis,No,,True,Junior
12,5/1/2024 11:42:36,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,997000.0,,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,4,4,4,0.0,Google Cloud Platform,"Javascript, Python","Flask, Node.js",Google Cloud Storage,Selenium,De 51 a 100 personas,100% remoto,0,Inflacion cada 3 meses,Sí,0,4,Responder sobre guardias,Universitario,Completo,Publicidad,UADE - Universidad Argentina De la Empresa,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,47,Hombre Cis,No,Mercado Libre,False,Semi-Senior
13,5/1/2024 11:43:13,Córdoba,Full-Time,Staff (planta permanente),835469.0,693439.0,Cobro parte del salario en dólares,1014,Un sueldo,Performance de la compañía,No,0.0,No tuve,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",Technical Leader,9,4,3,0.0,"Amazon Web Services, Docker, Kubernetes, Linux","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Next.js, React.js","Amazon RDS/Aurora, MongoDB, MySQL",Pytest,De 51 a 100 personas,Híbrido (presencial y remoto),2,"Sí, por desempeño.",No,8,5,Responder sobre guardias,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UNC - Universidad Nacional de Córdoba,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,29,Hombre Cis,Sí,,True,Senior
14,5/1/2024 11:43:13,Santa Fe,Full-Time,Staff (planta permanente),2500000.0,2200000.0,,,No,No recibo bono,Tres,25.0,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,25,25,25,0.0,Windows Server,"Ninguno de los anteriores, Vb6",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Ajustes de empleados de comercio ,No,7,1,Terminar encuesta,,,,,,,,,,49,Hombre Cis,No,,False,Senior
15,5/1/2024 11:43:52,Buenos Aires,Full-Time,Staff (planta permanente),1000000.0,800000.0,,,No,No recibo bono,Uno,30.0,Abril,1,Comidas pagas / subvencionadas,2,"No, estoy muy conforme.",Technical Leader,10,8,3,8.0,"Docker, Kubernetes, Linux","Bash/Shell, CSS, Go, Javascript, Python, SQL, TypeScript","Angular, Next.js, Node.js, React.js, Vue.js","MongoDB, MySQL, PostgreSQL, Redis","Jest, Mocha, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),3,,No,9,0,Responder sobre guardias,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Terminar encuesta,"Sí, pasiva",0.0,Neto,Responder sobre mis estudios,30,Hombre Cis,Sí,,False,Senior
16,5/1/2024 11:45:13,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,1077000.0,,,No,No recibo bono,Uno,40.0,Enero,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",2,"Sí, estoy buscando activamente.",Developer,6,4,4,0.0,Ninguna de las anteriores,Java,Spring,"IBM Db2, Microsoft SQL Server",JUnit,De 201 a 500 personas,100% remoto,0,Se redujo el intervalo entre ajustes de 6 a 4 meses,No,0,1,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,28,Hombre Cis,Sí,,False,Senior
17,5/1/2024 11:45:19,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),280000.0,250000.0,,,No,No recibo bono,No,0.0,Abril,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",1,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,0,0,0,0.0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),0,,No,1,2,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,27,Hombre Cis,No,,False,Junior
18,5/1/2024 11:45:20,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,2014000.0,,,No,No recibo bono,Más de tres,9.0,Mayo,3,"Abono de celular, Comidas pagas / subvencionadas",3,"Sí, estoy buscando activamente.",Technical Leader,16,0,0,10.0,"Amazon Web Services, Azure, Linux, VMWare, Windows Server","Bash/Shell, Python, Powershell",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),4,Si,No,3,5,Responder sobre guardias,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,41,Hombre Cis,Sí,No,False,Senior
19,5/1/2024 11:45:29,Tucumán,Full-Time,Staff (planta permanente),530000.0,530000.0,,,No,No recibo bono,Uno,10.0,Marzo,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Manager / Director,15,4,4,30.0,Linux,"CSS, HTML, Javascript, TypeScript","Bootstrap, Node.js, React.js",MongoDB,Jest,De 11  a 50  personas,100% remoto,0,Se redefinió un plan de carrera y en base a eso se evaluaba a los empleados y se les subía la categoría para aumentar el sueldo.,Sí,6,4,Responder sobre mis estudios,Universitario,Incompleto,Programador universitario,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,41,Hombre Cis,Sí,,False,Senior
20,5/1/2024 11:46:48,Buenos Aires,Full-Time,Contractor,1050000.0,1050000.0,Cobro parte del salario en dólares,,No,No recibo bono,Dos,20.0,Marzo,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Technical Leader,3,3,1,5.0,"Amazon Web Services, Docker, Firebase, Linux","CSS, HTML, Javascript, Python, SQL, TypeScript","Django, Flask, Next.js, Node.js, React.js",Ninguna de las anteriores,"Cypress, Postman, Playwright",De 11  a 50  personas,100% remoto,0,,No,8,4,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Ciencia de Datos,UNSAM - Universidad de San Martín,Terminar encuesta,,,,,28,Hombre Cis,Sí,,True,Semi-Senior
21,5/1/2024 11:49:07,Entre Ríos,Full-Time,Staff (planta permanente),980457.83,816281.0,,,No,No recibo bono,Dos,106.0,Abril,4,"Clases de idiomas, Horarios flexibles",4,"No, estoy muy conforme.",Developer,8,0,0,0.0,"Amazon Web Services, Docker, Linux","HTML, Java, SQL","Hibernate, Spring",Informix,JUnit,De 11  a 50  personas,100% remoto,0,Trimestral,No sé,10,1,Responder sobre mis estudios,Universitario,Completo,Tecnicatura Superior en Programación,UNSAM - Universidad de San Martín,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,35,Hombre Cis,Sí,,False,Senior
22,5/1/2024 11:49:28,Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000.0,1200000.0,,,No,No recibo bono,Dos,45.0,Marzo,4,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,2,2,1,5.0,Ninguna de las anteriores,"Bash/Shell, Java",Ninguno de los anteriores,Ninguna de las anteriores,JUnit,De 101 a 200 personas,100% remoto,0,Sí ,No,8,2,Responder sobre mis estudios,Universitario,Completo,Analista de Sistemas,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Terminar encuesta,,,,,33,Hombre Cis,Sí,,False,Junior
23,5/1/2024 11:49:35,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,540000.0,540000.0,,,No,No recibo bono,Dos,90.0,Marzo,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",SysAdmin / DevOps / SRE,2,2,1,0.0,"Linux, Microcontroladores, OpenShift, VMWare","Bash/Shell, Java, SQL",Angular,"ElasticSearch, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,Sí,6,4,Responder sobre guardias,Secundario,Completo,,,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,27,Hombre Cis,Sí,,False,Junior
24,5/1/2024 11:50:15,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),500000.0,300000.0,,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,0,0,0,0.0,"Amazon Web Services, Docker, Linux","PHP, Python, SQL","Bootstrap, Flutter, jQuery, Symfony",MySQL,PHPUnit,De 2 a 10 personas,100% remoto,0,,No sé,8,4,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,22,Hombre Cis,No,,False,Junior
25,5/1/2024 11:52:02,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),860000.0,805000.0,Cobro parte del salario en dólares,1040,Un sueldo,Performance individual,Tres,30.0,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",3,"No, estoy muy conforme.",Developer,4,4,1,3.0,Docker,"CSS, HTML, Javascript, SQL","Node.js, React.js","ElasticSearch, PostgreSQL","Cypress, Jest",De 51 a 100 personas,100% remoto,0,,No,9,4,Terminar encuesta,,,,,,,,,,32,Hombre Cis,Sí,,True,Semi-Senior
26,5/1/2024 11:52:28,Corrientes,Full-Time,Contractor,4000000.0,4000000.0,Cobro todo el salario en dólares,0,No,No recibo bono,No,0.0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs",4,"No, estoy muy conforme.",Developer,15,2,2,0.0,"Amazon Web Services, Docker, Linux","Javascript, SQL, TypeScript, ","Angular, Node.js, Nestjs ","ElasticSearch, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No,10,5,Responder sobre mis estudios,Posgrado/Especialización,Incompleto,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,No,0.0,Neto,Responder sobre mis estudios,42,Hombre Cis,Sí,,True,Senior
27,5/1/2024 11:53:55,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1257000.0,1047618.0,,,Menos de un sueldo,Performance individual,Tres,33.0,Marzo,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc)",4,"No, estoy muy conforme.",Functional Analyst,8,0,0,0.0,"Docker, Linux",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Postman,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,10,1,Terminar encuesta,,,,,,,,,,35,Hombre Cis,Sí,,False,Senior
28,5/1/2024 11:54:17,Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),5000000.0,5000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,3,"No, estoy muy conforme.",Developer,17,10,10,0.0,"Amazon Web Services, Docker, Linux","CSS, HTML, Javascript, Python","Angular, Bootstrap, Django, jQuery, React.js",MongoDB,Cypress,De 2 a 10 personas,100% remoto,0,,No,10,0,Responder sobre mis estudios,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UNR - Universidad Nacional de Rosario,Terminar encuesta,,,,,41,Hombre Cis,Sí,,True,Senior
29,5/1/2024 11:55:30,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),450000.0,440000.0,Cobro todo el salario en dólares,1000,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,0,0,0,0.0,"Amazon Web Services, Docker, Linux","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Next.js, Node.js, React.js, Spring","MySQL, PostgreSQL","JUnit, Postman, Selenium",De 11  a 50  personas,Híbrido (presencial y remoto),4,No (muy en desacuerdo con esto y la razón por la que me quiero ir de la empresa),No,1,5,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Informática,ITBA Instituto Tecnológico de Buenos Aires,Terminar encuesta,,,,,22,Mujer Cis,No,Meli,True,Junior
30,5/1/2024 11:56:07,San Juan,Full-Time,Staff (planta permanente),1107154.0,1029365.0,,,No,No recibo bono,Tres,22.0,Abril,4,"Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,2,1,1,0.0,Amazon Web Services,"CSS, HTML, Javascript, TypeScript","Next.js, Node.js","Amazon DynamoDB, ElasticSearch","Jest, Postman",De 1001 a 2000 personas,100% remoto,0,No,No,9,5,Responder sobre mis estudios,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,24,Hombre Cis,Sí,,False,Junior
31,5/1/2024 11:57:33,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,1600000.0,,,De uno a tres sueldos,Performance individual,Tres,55.0,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, estoy muy conforme.",Consultant,6,6,0,4.0,Linux,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,No,8,3,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,30,Mujer Cis,Sí,,False,Senior
